# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1777472866088000000,1777472926165000000,6
VFS.fileChildByName,1777472866088000000,1777472926165000000,11315
VFS.contentStorage.recordsReadDecompressed,1777472866088000000,1777472926165000000,12
VFS.contentStorage.recordsDeduplicated,1777472866088000000,1777472926165000000,0
VFS.contentStorage.recordsRead,1777472866088000000,1777472926165000000,20
FileNameCache.queries,1777472866088000000,1777472926165000000,803136
VFS.contentStorage.recordsStoredSize,1777472866088000000,1777472926165000000,0
VFS.contentStorage.recordsStored,1777472866088000000,1777472926165000000,0
VFS.contentStorage.recordsUncompressedSize,1777472866088000000,1777472926165000000,0
VFS.fileByIdCache.misses,1777472866088000000,1777472926165000000,18013
VFS.fileByIdCache.hits,1777472866088000000,1777472926165000000,0
VFS.contentStorage.recordsStoredCompressed,1777472866088000000,1777472926165000000,0
FileNameCache.totalMisses,1777472866088000000,1777472926165000000,57216
VFS.contentStorage.recordsDecompressionTimeUs,1777472866088000000,1777472926165000000,1312
VFS.contentStorage.recordsReadSize,1777472866088000000,1777472926165000000,719475
workspaceModel.initializing.ms,1777472866088000000,1777472926165000000,1
workspaceModel.cachedValueWithParameters.from.cache.count,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1777472866088000000,1777472926165000000,0
workspaceModel.updates.precise.ms,1777472866088000000,1777472926165000000,5
workspaceModel.entityStorageSnapshotImpl.instances.count,1777472866088000000,1777472926165000000,20
workspaceModel.replace.project.model.ms,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777472866088000000,1777472926165000000,181
workspaceModel.cachedValueWithParameters.clear.count,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexData.init.ms,1777472866088000000,1777472926165000000,28
workspaceModel.init.bridges.ms,1777472866088000000,1777472926165000000,1
workspaceModel.pre.handlers.ms,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777472866088000000,1777472926165000000,42
workspaceModel.workspaceFileIndexData.instances.count,1777472866088000000,1777472926165000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777472866088000000,1777472926165000000,118
workspaceModel.updates.ms,1777472866088000000,1777472926165000000,24
workspaceModel.on.changed.ms,1777472866088000000,1777472926165000000,8
workspaceModel.cachedValue.from.cache.count,1777472866088000000,1777472926165000000,275
workspaceModel.cachedValueWithParameters.calculated.count,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777472866088000000,1777472926165000000,4
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777472866088000000,1777472926165000000,1
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777472866088000000,1777472926165000000,0
workspaceModel.cachedValue.clear.count,1777472866088000000,1777472926165000000,0
workspaceModel.on.before.changed.ms,1777472866088000000,1777472926165000000,10
workspaceModel.cachedValue.calculated.count,1777472866088000000,1777472926165000000,11
workspaceModel.full.replace.project.model.ms,1777472866088000000,1777472926165000000,1
workspaceModel.check.recursive.update.ms,1777472866088000000,1777472926165000000,1
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777472866088000000,1777472926165000000,0
workspaceModel.update.unloaded.entities.ms,1777472866088000000,1777472926165000000,0
workspaceModel.to.snapshot.ms,1777472866088000000,1777472926165000000,0
workspaceModel.loading.from.cache.ms,1777472866088000000,1777472926165000000,142
workspaceModel.cachedValue.total.get.count,1777472866088000000,1777472926165000000,286
workspaceModel.updates.count,1777472866088000000,1777472926165000000,3
workspaceModel.collect.changes.ms,1777472866088000000,1777472926165000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777472866088000000,1777472926165000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1777472866088000000,1777472926165000000,0
workspaceModel.loading.total.ms,1777472866088000000,1777472926165000000,149
compiler.ArtifactManagerBridge.commit.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777472866088000000,1777472926165000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777472866088000000,1777472926165000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777472866088000000,1777472926165000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777472866088000000,1777472926165000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777472866088000000,1777472926165000000,1
jps.artifact.entities.serializer.save.entities.ms,1777472866088000000,1777472926165000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777472866088000000,1777472926165000000,297
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777472866088000000,1777472926165000000,0
workspaceModel.do.save.caches.ms,1777472866088000000,1777472926165000000,68
jps.app.storage.content.reader.load.component.ms,1777472866088000000,1777472926165000000,4
