# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationMaxMs,1777472997727000000,1777473030878000000,0.0
Indexes.stubs.lookups,1777472997727000000,1777473030878000000,1665
Indexing.writer_3.totalTimeSpentWritingMs,1777472997727000000,1777473030878000000,0
Indexes.allKeys.lookupDurationAvgMs,1777472997727000000,1777473030878000000,0.0
Indexing.writesQueuedMax,1777472997727000000,1777473030878000000,0
Indexes.stubs.lookupDuration90PMs,1777472997727000000,1777473030878000000,0.0
Indexes.stubs.lookupDurationAvgMs,1777472997727000000,1777473030878000000,0.0
Indexes.entries.lookupDurationAvgMs,1777472997727000000,1777473030878000000,0.0
Indexes.allKeys.lookupDuration90PMs,1777472997727000000,1777473030878000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1777472997727000000,1777473030878000000,0.0
Indexes.stubs.lookupDurationMaxMs,1777472997727000000,1777473030878000000,0.0
Indexing.writesQueuedMin,1777472997727000000,1777473030878000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1777472997727000000,1777473030878000000,0
Indexes.entries.lookups,1777472997727000000,1777473030878000000,50
Indexing.writer_0.totalTimeSpentWritingMs,1777472997727000000,1777473030878000000,0
Indexing.cache.totalCacheAccesses,1777472997727000000,1777473030878000000,2743
Indexing.writer_1.totalTimeSpentWritingMs,1777472997727000000,1777473030878000000,0
Indexing.cache.totalCacheEvicted,1777472997727000000,1777473030878000000,1001
Indexing.totalTimeIndexersSleptMs,1777472997727000000,1777473030878000000,0
Indexes.entries.lookupDuration90PMs,1777472997727000000,1777473030878000000,0.0
Indexes.allKeys.lookups,1777472997727000000,1777473030878000000,0
Indexing.cache.totalCacheMisses,1777472997727000000,1777473030878000000,1001
cacheStateStorage.set.duration,1777472997727000000,1777473030878000000,13
cacheStateStorage.set.counter,1777472997727000000,1777473030878000000,5
cacheStateStorage.get.counter,1777472997727000000,1777473030878000000,21
cacheStateStorage.get.duration,1777472997727000000,1777473030878000000,42
VFS.invertedFileNameIndex.requests,1777472997727000000,1777473030878000000,6
VFS.fileByIdCache.misses,1777472997727000000,1777473030878000000,16375
VFS.fileChildByName,1777472997727000000,1777473030878000000,7725
VFS.fileByIdCache.hits,1777472997727000000,1777473030878000000,0
JVM.usedNativeBytes,1777472997727000000,1777473030878000000,414219408
MEM.ramPlusSwapMinusFileMappingsBytes,1777472997727000000,1777473030878000000,1691602832
JVM.totalCpuTimeMs,1777472997727000000,1777473030878000000,32085
JVM.totalTimeToSafepointsMs,1777472997727000000,1777473030878000000,31
MEM.ramMinusFileMappingsBytes,1777472997727000000,1777473030878000000,1165312000
OS.loadAverage,1777472997727000000,1777473030878000000,2.64013671875
JVM.totalSafepointCount,1777472997727000000,1777473030878000000,346
MEM.ramBytes,1777472997727000000,1777473030878000000,1588641792
JVM.GC.collections,1777472997727000000,1777473030878000000,42
JVM.newThreadsCount,1777472997727000000,1777473030878000000,155
JVM.totalBytesAllocated,1777472997727000000,1777473030878000000,2609538392
JVM.maxThreadCount,1777472997727000000,1777473030878000000,126
JVM.totalDirectByteBuffersBytes,1777472997727000000,1777473030878000000,6501210
JVM.usedHeapBytes,1777472997727000000,1777473030878000000,277641664
JVM.threadCount,1777472997727000000,1777473030878000000,125
JVM.maxHeapBytes,1777472997727000000,1777473030878000000,2147483648
JVM.totalTimeAtSafepointsMs,1777472997727000000,1777473030878000000,284
JVM.GC.collectionTimesMs,1777472997727000000,1777473030878000000,272
JVM.committedHeapBytes,1777472997727000000,1777473030878000000,719323136
MEM.fileMappingsRamBytes,1777472997727000000,1777473030878000000,423329792
workspaceModel.pre.handlers.ms,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777472997727000000,1777473030878000000,39
workspaceModel.cachedValue.calculated.count,1777472997727000000,1777473030878000000,13
workspaceModel.cachedValueWithParameters.from.cache.count,1777472997727000000,1777473030878000000,0
workspaceModel.updates.count,1777472997727000000,1777473030878000000,3
workspaceModel.workspaceFileIndexData.instances.count,1777472997727000000,1777473030878000000,1
workspaceModel.replace.project.model.ms,1777472997727000000,1777473030878000000,0
workspaceModel.check.recursive.update.ms,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777472997727000000,1777473030878000000,5
workspaceModel.loading.from.cache.ms,1777472997727000000,1777473030878000000,63
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777472997727000000,1777473030878000000,0
workspaceModel.updates.precise.ms,1777472997727000000,1777473030878000000,6
workspaceModel.init.bridges.ms,1777472997727000000,1777473030878000000,1
workspaceModel.full.replace.project.model.ms,1777472997727000000,1777473030878000000,1
workspaceModel.loading.total.ms,1777472997727000000,1777473030878000000,67
workspaceModel.cachedValue.clear.count,1777472997727000000,1777473030878000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777472997727000000,1777473030878000000,0
workspaceModel.on.before.changed.ms,1777472997727000000,1777473030878000000,8
workspaceModel.to.snapshot.ms,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777472997727000000,1777473030878000000,11
workspaceModel.updates.ms,1777472997727000000,1777473030878000000,21
workspaceModel.collect.changes.ms,1777472997727000000,1777473030878000000,0
workspaceModel.cachedValueWithParameters.clear.count,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777472997727000000,1777473030878000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1777472997727000000,1777473030878000000,0
workspaceModel.update.unloaded.entities.ms,1777472997727000000,1777473030878000000,0
workspaceModel.cachedValue.total.get.count,1777472997727000000,1777473030878000000,232
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777472997727000000,1777473030878000000,139
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777472997727000000,1777473030878000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1777472997727000000,1777473030878000000,0
workspaceModel.on.changed.ms,1777472997727000000,1777473030878000000,6
workspaceModel.entityStorageSnapshotImpl.instances.count,1777472997727000000,1777473030878000000,19
workspaceModel.workspaceFileIndexData.init.ms,1777472997727000000,1777473030878000000,32
workspaceModel.initializing.ms,1777472997727000000,1777473030878000000,0
workspaceModel.cachedValue.from.cache.count,1777472997727000000,1777473030878000000,219
compiler.ArtifactManagerBridge.getArtifacts.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777472997727000000,1777473030878000000,2
compiler.ArtifactManagerBridge.commit.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777472997727000000,1777473030878000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777472997727000000,1777473030878000000,0
FlushQueue.tasksExecuted,1777472997727000000,1777473030878000000,0
AWTEventQueue.dispatchTime90PNs,1777472997727000000,1777473030878000000,0
NonBlockingReadAction.failedExecutionTimeUs,1777472997727000000,1777473030878000000,119652
FlushQueue.executionTimeMaxNs,1777472997727000000,1777473030878000000,0
FlushQueue.executionTime90PNs,1777472997727000000,1777473030878000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777472997727000000,1777473030878000000,255
FlushQueue.queueSizeMax,1777472997727000000,1777473030878000000,0
FlushQueue.executionTimeAvgNs,1777472997727000000,1777473030878000000,0.0
FlushQueue.waitingTimeMaxNs,1777472997727000000,1777473030878000000,0
FlushQueue.queueSizeAvg,1777472997727000000,1777473030878000000,0.0
FlushQueue.queueSize90P,1777472997727000000,1777473030878000000,0
ReadAction.executionsCount,1777472997727000000,1777473030878000000,108506
AWTEventQueue.eventsDispatched,1777472997727000000,1777473030878000000,0
FlushQueue.waitingTime90PNs,1777472997727000000,1777473030878000000,0
FlushQueue.waitingTimeAvgNs,1777472997727000000,1777473030878000000,0.0
WriteAction.executionsCount,1777472997727000000,1777473030878000000,13
AWTEventQueue.dispatchTimeAvgNs,1777472997727000000,1777473030878000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1777472997727000000,1777473030878000000,0
NonBlockingReadAction.failedExecutionsCount,1777472997727000000,1777473030878000000,11
AWTEventQueue.dispatchTimeTotalNS,1777472997727000000,1777473030878000000,3517828212
NonBlockingReadAction.finalizedExecutionTimeUs,1777472997727000000,1777473030878000000,292727
lexer.JAVA.size.bytes,1777472997727000000,1777473030878000000,7469
parser.JAVA.time.ns,1777472997727000000,1777473030878000000,9568832
writeAction.wait.ms,1777472997727000000,1777473030878000000,16
lexer.JAVA.time.ns,1777472997727000000,1777473030878000000,640875
DiskQueryRelay.taskWaitingTotalTimeUs,1777472997727000000,1777473030878000000,374939
writeAction.median.wait.ms,1777472997727000000,1777473030878000000,0
writeAction.max.wait.ms,1777472997727000000,1777473030878000000,11
DiskQueryRelay.tasksRequested,1777472997727000000,1777473030878000000,723
DiskQueryRelay.tasksExecuted,1777472997727000000,1777473030878000000,253
DiskQueryRelay.taskExecutionTotalTimeUs,1777472997727000000,1777473030878000000,192710
writeAction.count,1777472997727000000,1777473030878000000,14
parser.JAVA.size.bytes,1777472997727000000,1777473030878000000,7469
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777472997727000000,1777473030878000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777472997727000000,1777473030878000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777472997727000000,1777473030878000000,0
FilePageCache.pageLoads,1777472997727000000,1777473030878000000,229
FilePageCache.maxCacheSizeInBytes,1777472997727000000,1777473030878000000,234897408
FilePageCache.totalPageDisposalsUs,1777472997727000000,1777473030878000000,728
StorageLockContext.competingThreads.max,1777472997727000000,1777473030878000000,0
DirectByteBufferAllocator.disposed,1777472997727000000,1777473030878000000,226
FilePageCache.disposedBuffers,1777472997727000000,1777473030878000000,229
FilePageCache.pageFastCacheHits,1777472997727000000,1777473030878000000,4868
FilePageCache.uncachedFileAccess,1777472997727000000,1777473030878000000,155
StorageLockContext.competingThreads.90P,1777472997727000000,1777473030878000000,0
FilePageCache.capacityInBytes,1777472997727000000,1777473030878000000,629145600
MappedFileStorage.totalPagesMapped,1777472997727000000,1777473030878000000,0
DirectByteBufferAllocator.reclaimed,1777472997727000000,1777473030878000000,45
MappedFileStorage.totalBytesMapped,1777472997727000000,1777473030878000000,0
FilePageCache.maxRegisteredFiles,1777472997727000000,1777473030878000000,538
MappedFileStorage.storages,1777472997727000000,1777473030878000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777472997727000000,1777473030878000000,41959424
FilePageCache.totalPageLoadsUs,1777472997727000000,1777473030878000000,176254
FilePageCache.pageHits,1777472997727000000,1777473030878000000,0
StorageLockContext.competingThreads.avg,1777472997727000000,1777473030878000000,0.0
DirectByteBufferAllocator.hits,1777472997727000000,1777473030878000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1777472997727000000,1777473030878000000,10807
DirectByteBufferAllocator.misses,1777472997727000000,1777473030878000000,226
workspaceModel.global.updates.ms,1777472997727000000,1777473030878000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777472997727000000,1777473030878000000,0
jps.global.initialize.library.bridges.ms,1777472997727000000,1777473030878000000,0
jps.global.get.libraries.ms,1777472997727000000,1777473030878000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777472997727000000,1777473030878000000,0
jps.facet.change.listener.before.change.events.ms,1777472997727000000,1777473030878000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777472997727000000,1777473030878000000,7
workspaceModel.mutableEntityStorage.add.entity.ms,1777472997727000000,1777473030878000000,6
workspaceModel.mutableEntityStorage.entities.ms,1777472997727000000,1777473030878000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777472997727000000,1777473030878000000,0
workspaceModel.load.cache.from.file.ms,1777472997727000000,1777473030878000000,69
jps.global.initialize.library.bridges.after.loading.ms,1777472997727000000,1777473030878000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777472997727000000,1777473030878000000,54
jps.app.storage.content.reader.load.component.ms,1777472997727000000,1777473030878000000,2
jps.global.get.library.ms,1777472997727000000,1777473030878000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777472997727000000,1777473030878000000,0
