# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1778595702967000000,1778595724114000000,1305794
writeAction.max.wait.ms,1778595702967000000,1778595724114000000,7
writeAction.median.wait.ms,1778595702967000000,1778595724114000000,0
lexer.JAVA.size.bytes,1778595702967000000,1778595724114000000,8006
DiskQueryRelay.taskExecutionTotalTimeUs,1778595702967000000,1778595724114000000,201416
parser.JAVA.time.ns,1778595702967000000,1778595724114000000,13917289
parser.JAVA.size.bytes,1778595702967000000,1778595724114000000,8006
DiskQueryRelay.tasksRequested,1778595702967000000,1778595724114000000,1006
DiskQueryRelay.tasksExecuted,1778595702967000000,1778595724114000000,278
lexer.JAVA.time.ns,1778595702967000000,1778595724114000000,731501
writeAction.wait.ms,1778595702967000000,1778595724114000000,9
writeAction.count,1778595702967000000,1778595724114000000,12
WriteAction.executionsCount,1778595702967000000,1778595724114000000,12
ReadAction.executionsCount,1778595702967000000,1778595724114000000,101054
FlushQueue.queueSizeMax,1778595702967000000,1778595724114000000,82
FlushQueue.waitingTime90PNs,1778595702967000000,1778595724114000000,78118911
FlushQueue.tasksExecuted,1778595702967000000,1778595724114000000,1669
AWTEventQueue.dispatchTimeAvgNs,1778595702967000000,1778595724114000000,825346.0212971927
AWTEventQueue.dispatchTime90PNs,1778595702967000000,1778595724114000000,823295
FlushQueue.executionTime90PNs,1778595702967000000,1778595724114000000,301055
AWTEventQueue.dispatchTimeTotalNS,1778595702967000000,1778595724114000000,2558629352
AWTEventQueue.dispatchTimeMaxNs,1778595702967000000,1778595724114000000,459276287
FlushQueue.queueSize90P,1778595702967000000,1778595724114000000,48
FlushQueue.waitingTimeAvgNs,1778595702967000000,1778595724114000000,2.242800838705812E7
FlushQueue.waitingTimeMaxNs,1778595702967000000,1778595724114000000,381681663
FlushQueue.executionTimeMaxNs,1778595702967000000,1778595724114000000,459276287
NonBlockingReadAction.failedExecutionsCount,1778595702967000000,1778595724114000000,6
FlushQueue.queueSizeAvg,1778595702967000000,1778595724114000000,13.03055721989215
NonBlockingReadAction.finalizedExecutionsCount,1778595702967000000,1778595724114000000,36
NonBlockingReadAction.failedExecutionTimeUs,1778595702967000000,1778595724114000000,108025
NonBlockingReadAction.finalizedExecutionTimeUs,1778595702967000000,1778595724114000000,158368
AWTEventQueue.eventsDispatched,1778595702967000000,1778595724114000000,3099
FlushQueue.executionTimeAvgNs,1778595702967000000,1778595724114000000,740673.8148591971
cacheStateStorage.set.counter,1778595702967000000,1778595724114000000,3
cacheStateStorage.get.counter,1778595702967000000,1778595724114000000,20
cacheStateStorage.set.duration,1778595702967000000,1778595724114000000,9
cacheStateStorage.get.duration,1778595702967000000,1778595724114000000,39
Indexing.writer_1.totalTimeSpentWritingMs,1778595702967000000,1778595724114000000,0
Indexes.stubs.lookups,1778595702967000000,1778595724114000000,1735
Indexes.stubs.lookupDuration90PMs,1778595702967000000,1778595724114000000,0.0
Indexing.writesQueuedMax,1778595702967000000,1778595724114000000,0
Indexing.cache.totalCacheMisses,1778595702967000000,1778595724114000000,1139
Indexing.writesQueuedAvg,1778595702967000000,1778595724114000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1778595702967000000,1778595724114000000,0.0
Indexes.entries.lookups,1778595702967000000,1778595724114000000,74
Indexing.writer_2.totalTimeSpentWritingMs,1778595702967000000,1778595724114000000,0
Indexing.cache.totalCacheEvicted,1778595702967000000,1778595724114000000,1139
Indexing.writer_0.totalTimeSpentWritingMs,1778595702967000000,1778595724114000000,0
Indexes.stubs.lookupDurationMaxMs,1778595702967000000,1778595724114000000,60.0
Indexing.totalTimeIndexersSleptMs,1778595702967000000,1778595724114000000,0
Indexes.allKeys.lookupDurationMaxMs,1778595702967000000,1778595724114000000,0.0
Indexes.entries.lookupDuration90PMs,1778595702967000000,1778595724114000000,1.0
Indexes.entries.lookupDurationAvgMs,1778595702967000000,1778595724114000000,0.4594594594594595
Indexes.allKeys.lookupDuration90PMs,1778595702967000000,1778595724114000000,0.0
Indexes.entries.lookupDurationMaxMs,1778595702967000000,1778595724114000000,4.0
Indexing.writesQueuedMin,1778595702967000000,1778595724114000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1778595702967000000,1778595724114000000,0
Indexes.stubs.lookupDurationAvgMs,1778595702967000000,1778595724114000000,0.10160734787600459
Indexes.allKeys.lookups,1778595702967000000,1778595724114000000,0
Indexing.cache.totalCacheAccesses,1778595702967000000,1778595724114000000,3196
compiler.ArtifactManagerBridge.initBridges.ms,1778595702967000000,1778595724114000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1778595702967000000,1778595724114000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1778595702967000000,1778595724114000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1778595702967000000,1778595724114000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1778595702967000000,1778595724114000000,0
compiler.ArtifactManagerBridge.commit.ms,1778595702967000000,1778595724114000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1778595702967000000,1778595724114000000,3
JVM.GC.collectionTimesMs,1778595702967000000,1778595724114000000,261
JVM.usedHeapBytes,1778595702967000000,1778595724114000000,275844816
MEM.ramBytes,1778595702967000000,1778595724114000000,1854324736
JVM.committedHeapBytes,1778595702967000000,1778595724114000000,812646400
MEM.ramPlusSwapMinusFileMappingsBytes,1778595702967000000,1778595724114000000,1808895936
OS.loadAverage,1778595702967000000,1778595724114000000,1.875
MEM.fileMappingsRamBytes,1778595702967000000,1778595724114000000,416169984
JVM.totalSafepointCount,1778595702967000000,1778595724114000000,297
JVM.usedNativeBytes,1778595702967000000,1778595724114000000,388445856
JVM.totalTimeToSafepointsMs,1778595702967000000,1778595724114000000,37
JVM.maxThreadCount,1778595702967000000,1778595724114000000,126
JVM.threadCount,1778595702967000000,1778595724114000000,124
JVM.newThreadsCount,1778595702967000000,1778595724114000000,141
JVM.totalTimeAtSafepointsMs,1778595702967000000,1778595724114000000,271
MEM.ramMinusFileMappingsBytes,1778595702967000000,1778595724114000000,1438121984
JVM.totalCpuTimeMs,1778595702967000000,1778595724114000000,28049
JVM.totalDirectByteBuffersBytes,1778595702967000000,1778595724114000000,6575181
JVM.totalBytesAllocated,1778595702967000000,1778595724114000000,2444244336
JVM.maxHeapBytes,1778595702967000000,1778595724114000000,2147483648
JVM.GC.collections,1778595702967000000,1778595724114000000,42
workspaceModel.cachedValue.from.cache.count,1778595702967000000,1778595724114000000,226
workspaceModel.replace.project.model.ms,1778595702967000000,1778595724114000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.init.ms,1778595702967000000,1778595724114000000,24
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1778595702967000000,1778595724114000000,15
workspaceModel.full.replace.project.model.ms,1778595702967000000,1778595724114000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1778595702967000000,1778595724114000000,0
workspaceModel.cachedValueWithParameters.clear.count,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1778595702967000000,1778595724114000000,9
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1778595702967000000,1778595724114000000,34
workspaceModel.collect.changes.ms,1778595702967000000,1778595724114000000,0
workspaceModel.check.recursive.update.ms,1778595702967000000,1778595724114000000,0
workspaceModel.updates.ms,1778595702967000000,1778595724114000000,16
workspaceModel.workspaceFileIndexData.instances.count,1778595702967000000,1778595724114000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1778595702967000000,1778595724114000000,21
workspaceModel.updates.count,1778595702967000000,1778595724114000000,3
workspaceModel.to.snapshot.ms,1778595702967000000,1778595724114000000,1
workspaceModel.init.bridges.ms,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1778595702967000000,1778595724114000000,0
workspaceModel.pre.handlers.ms,1778595702967000000,1778595724114000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1778595702967000000,1778595724114000000,0
workspaceModel.cachedValue.total.get.count,1778595702967000000,1778595724114000000,234
workspaceModel.loading.from.cache.ms,1778595702967000000,1778595724114000000,63
workspaceModel.on.before.changed.ms,1778595702967000000,1778595724114000000,8
workspaceModel.on.changed.ms,1778595702967000000,1778595724114000000,4
workspaceModel.cachedValue.clear.count,1778595702967000000,1778595724114000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1778595702967000000,1778595724114000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1778595702967000000,1778595724114000000,0
workspaceModel.update.unloaded.entities.ms,1778595702967000000,1778595724114000000,0
workspaceModel.initializing.ms,1778595702967000000,1778595724114000000,0
workspaceModel.loading.total.ms,1778595702967000000,1778595724114000000,66
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1778595702967000000,1778595724114000000,156
workspaceModel.cachedValue.calculated.count,1778595702967000000,1778595724114000000,8
workspaceModel.updates.precise.ms,1778595702967000000,1778595724114000000,3
workspaceModel.moduleBridge.before.changed.ms,1778595702967000000,1778595724114000000,0
workspaceModel.global.apply.state.to.project.ms,1778595702967000000,1778595724114000000,21
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1778595702967000000,1778595724114000000,1
workspaceModel.load.cache.from.file.ms,1778595702967000000,1778595724114000000,66
workspaceModel.save.cache.to.file.ms,1778595702967000000,1778595724114000000,40
jps.global.handle.before.change.events.ms,1778595702967000000,1778595724114000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778595702967000000,1778595724114000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1778595702967000000,1778595724114000000,0
workspaceModel.do.save.caches.ms,1778595702967000000,1778595724114000000,33
jps.facet.change.listener.init.bridge.ms,1778595702967000000,1778595724114000000,0
jps.global.get.library.ms,1778595702967000000,1778595724114000000,0
jps.facet.change.listener.before.change.events.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778595702967000000,1778595724114000000,1
workspaceModel.global.updates.ms,1778595702967000000,1778595724114000000,2
jps.artifact.entities.serializer.save.entities.ms,1778595702967000000,1778595724114000000,0
jps.global.handle.changed.events.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.entities.ms,1778595702967000000,1778595724114000000,1
jps.module.iml.entities.serializer.load.entities.ms,1778595702967000000,1778595724114000000,8
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1778595702967000000,1778595724114000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1778595702967000000,1778595724114000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1778595702967000000,1778595724114000000,76
jps.load.initial.state.ms,1778595702967000000,1778595724114000000,9
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1778595702967000000,1778595724114000000,2
jps.app.storage.content.reader.load.component.ms,1778595702967000000,1778595724114000000,4
workspaceModel.moduleManagerBridge.load.module.ms,1778595702967000000,1778595724114000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1778595702967000000,1778595724114000000,46
jps.facet.change.listener.process.change.events.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778595702967000000,1778595724114000000,0
jps.artifact.entities.serializer.load.entities.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778595702967000000,1778595724114000000,0
jps.global.initialize.library.bridges.after.loading.ms,1778595702967000000,1778595724114000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778595702967000000,1778595724114000000,6
workspaceModel.mutableEntityStorage.put.entity.ms,1778595702967000000,1778595724114000000,1
