# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDuration90PMs,1778582415525000000,1778582433866000000,0.0
Indexing.totalTimeIndexersSleptMs,1778582415525000000,1778582433866000000,0
Indexes.entries.lookups,1778582415525000000,1778582433866000000,53
Indexing.writer_2.totalTimeSpentWritingMs,1778582415525000000,1778582433866000000,0
Indexes.stubs.lookupDurationMaxMs,1778582415525000000,1778582433866000000,34.0
Indexes.allKeys.lookupDuration90PMs,1778582415525000000,1778582433866000000,0.0
Indexes.stubs.lookups,1778582415525000000,1778582433866000000,1741
Indexing.writesQueuedMax,1778582415525000000,1778582433866000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1778582415525000000,1778582433866000000,0
Indexes.allKeys.lookups,1778582415525000000,1778582433866000000,0
Indexes.entries.lookupDurationAvgMs,1778582415525000000,1778582433866000000,0.5471698113207547
Indexing.cache.totalCacheMisses,1778582415525000000,1778582433866000000,932
Indexes.entries.lookupDurationMaxMs,1778582415525000000,1778582433866000000,5.0
Indexes.allKeys.lookupDurationMaxMs,1778582415525000000,1778582433866000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1778582415525000000,1778582433866000000,0
Indexing.writesQueuedMin,1778582415525000000,1778582433866000000,0
Indexing.cache.totalCacheAccesses,1778582415525000000,1778582433866000000,2879
Indexes.stubs.lookupDurationAvgMs,1778582415525000000,1778582433866000000,0.09725400457665904
Indexing.cache.totalCacheEvicted,1778582415525000000,1778582433866000000,932
Indexes.entries.lookupDuration90PMs,1778582415525000000,1778582433866000000,1.0
Indexing.writer_3.totalTimeSpentWritingMs,1778582415525000000,1778582433866000000,0
Indexes.allKeys.lookupDurationAvgMs,1778582415525000000,1778582433866000000,0.0
Indexing.writesQueuedAvg,1778582415525000000,1778582433866000000,0.0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1778582415525000000,1778582433866000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1778582415525000000,1778582433866000000,38
workspaceModel.updates.ms,1778582415525000000,1778582433866000000,22
workspaceModel.cachedValueWithParameters.clear.count,1778582415525000000,1778582433866000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1778582415525000000,1778582433866000000,0
workspaceModel.updates.precise.ms,1778582415525000000,1778582433866000000,5
workspaceModel.workspaceFileIndexData.markDirty.ms,1778582415525000000,1778582433866000000,0
workspaceModel.cachedValue.total.get.count,1778582415525000000,1778582433866000000,232
workspaceModel.workspaceFileIndexData.init.ms,1778582415525000000,1778582433866000000,26
workspaceModel.update.unloaded.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.cachedValue.clear.count,1778582415525000000,1778582433866000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1778582415525000000,1778582433866000000,0
workspaceModel.init.bridges.ms,1778582415525000000,1778582433866000000,1
workspaceModel.updates.count,1778582415525000000,1778582433866000000,3
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1778582415525000000,1778582433866000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1778582415525000000,1778582433866000000,6
workspaceModel.collect.changes.ms,1778582415525000000,1778582433866000000,0
workspaceModel.check.recursive.update.ms,1778582415525000000,1778582433866000000,0
workspaceModel.pre.handlers.ms,1778582415525000000,1778582433866000000,0
workspaceModel.cachedValue.calculated.count,1778582415525000000,1778582433866000000,12
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1778582415525000000,1778582433866000000,146
workspaceModel.replace.project.model.ms,1778582415525000000,1778582433866000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.on.changed.ms,1778582415525000000,1778582433866000000,6
workspaceModel.loading.from.cache.ms,1778582415525000000,1778582433866000000,71
workspaceModel.full.replace.project.model.ms,1778582415525000000,1778582433866000000,1
workspaceModel.cachedValueWithParameters.total.get.count,1778582415525000000,1778582433866000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1778582415525000000,1778582433866000000,0
workspaceModel.loading.total.ms,1778582415525000000,1778582433866000000,73
workspaceModel.entityStorageSnapshotImpl.instances.count,1778582415525000000,1778582433866000000,20
workspaceModel.initializing.ms,1778582415525000000,1778582433866000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1778582415525000000,1778582433866000000,24
workspaceModel.to.snapshot.ms,1778582415525000000,1778582433866000000,0
workspaceModel.workspaceFileIndexData.instances.count,1778582415525000000,1778582433866000000,1
workspaceModel.on.before.changed.ms,1778582415525000000,1778582433866000000,9
workspaceModel.cachedValue.from.cache.count,1778582415525000000,1778582433866000000,220
MEM.ramPlusSwapMinusFileMappingsBytes,1778582415525000000,1778582433866000000,1742032880
MEM.ramMinusFileMappingsBytes,1778582415525000000,1778582433866000000,1332232192
MEM.ramBytes,1778582415525000000,1778582433866000000,1760051200
JVM.GC.collections,1778582415525000000,1778582433866000000,38
JVM.totalBytesAllocated,1778582415525000000,1778582433866000000,2507505136
JVM.newThreadsCount,1778582415525000000,1778582433866000000,152
JVM.threadCount,1778582415525000000,1778582433866000000,111
JVM.totalDirectByteBuffersBytes,1778582415525000000,1778582433866000000,49730134
JVM.totalTimeToSafepointsMs,1778582415525000000,1778582433866000000,24
JVM.totalCpuTimeMs,1778582415525000000,1778582433866000000,29602
MEM.fileMappingsRamBytes,1778582415525000000,1778582433866000000,427606016
JVM.usedNativeBytes,1778582415525000000,1778582433866000000,415371672
JVM.usedHeapBytes,1778582415525000000,1778582433866000000,545783808
JVM.totalTimeAtSafepointsMs,1778582415525000000,1778582433866000000,160
OS.loadAverage,1778582415525000000,1778582433866000000,2.26171875
JVM.maxThreadCount,1778582415525000000,1778582433866000000,124
JVM.committedHeapBytes,1778582415525000000,1778582433866000000,725614592
JVM.maxHeapBytes,1778582415525000000,1778582433866000000,2147483648
JVM.totalSafepointCount,1778582415525000000,1778582433866000000,295
JVM.GC.collectionTimesMs,1778582415525000000,1778582433866000000,151
FilePageCache.pageLoads,1778582415525000000,1778582433866000000,229
FilePageCache.pageLoadsAboveSizeThreshold,1778582415525000000,1778582433866000000,0
DirectByteBufferAllocator.hits,1778582415525000000,1778582433866000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1778582415525000000,1778582433866000000,41959424
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1778582415525000000,1778582433866000000,41959424
FileChannelInterruptsRetryer.totalRetriedAttempts,1778582415525000000,1778582433866000000,0
FilePageCache.pageFastCacheHits,1778582415525000000,1778582433866000000,4826
FilePageCache.capacityInBytes,1778582415525000000,1778582433866000000,629145600
FilePageCache.disposedBuffers,1778582415525000000,1778582433866000000,229
StorageLockContext.competingThreads.90P,1778582415525000000,1778582433866000000,0
DirectByteBufferAllocator.reclaimed,1778582415525000000,1778582433866000000,45
StorageLockContext.competingThreads.avg,1778582415525000000,1778582433866000000,0.0
FilePageCache.maxCacheSizeInBytes,1778582415525000000,1778582433866000000,234897408
FilePageCache.maxRegisteredFiles,1778582415525000000,1778582433866000000,538
FilePageCache.totalPageDisposalsUs,1778582415525000000,1778582433866000000,411
DirectByteBufferAllocator.misses,1778582415525000000,1778582433866000000,226
FilePageCache.totalPageLoadsUs,1778582415525000000,1778582433866000000,235037
FilePageCache.pageHits,1778582415525000000,1778582433866000000,0
FilePageCache.uncachedFileAccess,1778582415525000000,1778582433866000000,155
DirectByteBufferAllocator.disposed,1778582415525000000,1778582433866000000,184
StorageLockContext.competingThreads.max,1778582415525000000,1778582433866000000,0
parser.JAVA.time.ns,1778582415525000000,1778582433866000000,38313500
lexer.JAVA.time.ns,1778582415525000000,1778582433866000000,10830833
DiskQueryRelay.tasksRequested,1778582415525000000,1778582433866000000,964
writeAction.median.wait.ms,1778582415525000000,1778582433866000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1778582415525000000,1778582433866000000,1184414
writeAction.count,1778582415525000000,1778582433866000000,14
writeAction.max.wait.ms,1778582415525000000,1778582433866000000,5
parser.JAVA.size.bytes,1778582415525000000,1778582433866000000,7469
writeAction.wait.ms,1778582415525000000,1778582433866000000,6
lexer.JAVA.size.bytes,1778582415525000000,1778582433866000000,7469
DiskQueryRelay.tasksExecuted,1778582415525000000,1778582433866000000,245
DiskQueryRelay.taskExecutionTotalTimeUs,1778582415525000000,1778582433866000000,205933
cacheStateStorage.set.duration,1778582415525000000,1778582433866000000,14
cacheStateStorage.set.counter,1778582415525000000,1778582433866000000,13
cacheStateStorage.get.duration,1778582415525000000,1778582433866000000,49
cacheStateStorage.get.counter,1778582415525000000,1778582433866000000,21
NonBlockingReadAction.finalizedExecutionsCount,1778582415525000000,1778582433866000000,437
AWTEventQueue.dispatchTimeTotalNS,1778582415525000000,1778582433866000000,3028045201
NonBlockingReadAction.finalizedExecutionTimeUs,1778582415525000000,1778582433866000000,149441
NonBlockingReadAction.failedExecutionsCount,1778582415525000000,1778582433866000000,16
NonBlockingReadAction.failedExecutionTimeUs,1778582415525000000,1778582433866000000,136652
jps.facet.change.listener.process.change.events.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778582415525000000,1778582433866000000,0
jps.app.storage.content.writer.save.component.ms,1778582415525000000,1778582433866000000,2
workspaceModel.mutableEntityStorage.entities.ms,1778582415525000000,1778582433866000000,0
jps.load.project.to.empty.storage.ms,1778582415525000000,1778582433866000000,43
jps.facet.change.listener.before.change.events.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778582415525000000,1778582433866000000,0
jps.project.serializers.load.ms,1778582415525000000,1778582433866000000,14
jps.load.initial.state.ms,1778582415525000000,1778582433866000000,8
jps.global.get.library.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778582415525000000,1778582433866000000,10
jps.global.initialize.library.bridges.after.loading.ms,1778582415525000000,1778582433866000000,1
workspaceModel.sync.entities.ms,1778582415525000000,1778582433866000000,0
jps.global.get.library.by.name.ms,1778582415525000000,1778582433866000000,0
jps.artifact.entities.serializer.load.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1778582415525000000,1778582433866000000,0
workspaceModel.load.cache.metadata.from.file.ms,1778582415525000000,1778582433866000000,10
jps.library.entities.serializer.save.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.orphan.listener.update.ms,1778582415525000000,1778582433866000000,0
jps.project.serializers.save.ms,1778582415525000000,1778582433866000000,1
jps.global.handle.changed.events.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1778582415525000000,1778582433866000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1778582415525000000,1778582433866000000,2
jps.global.initialize.library.bridges.ms,1778582415525000000,1778582433866000000,0
jps.apply.loaded.storage.ms,1778582415525000000,1778582433866000000,2460
workspaceModel.moduleBridge.facet.initialization.ms,1778582415525000000,1778582433866000000,1
workspaceModel.mutableEntityStorage.instances.count,1778582415525000000,1778582433866000000,28
workspaceModel.save.cache.to.file.ms,1778582415525000000,1778582433866000000,41
jps.save.global.entities.ms,1778582415525000000,1778582433866000000,8
jps.app.storage.content.reader.load.component.ms,1778582415525000000,1778582433866000000,3
workspaceModel.load.cache.from.file.ms,1778582415525000000,1778582433866000000,77
workspaceModel.mutableEntityStorage.put.entity.ms,1778582415525000000,1778582433866000000,1
jps.global.handle.before.change.events.ms,1778582415525000000,1778582433866000000,0
workspaceModel.global.updates.count,1778582415525000000,1778582433866000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1778582415525000000,1778582433866000000,0
jps.facet.change.listener.init.bridge.ms,1778582415525000000,1778582433866000000,0
jps.reload.project.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.do.save.caches.ms,1778582415525000000,1778582433866000000,54
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1778582415525000000,1778582433866000000,0
workspaceModel.global.updates.ms,1778582415525000000,1778582433866000000,3
workspaceModel.moduleBridge.update.option.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1778582415525000000,1778582433866000000,53
jps.storage.jps.conf.reader.load.component.ms,1778582415525000000,1778582433866000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1778582415525000000,1778582433866000000,0
jps.module.iml.entities.serializer.load.entities.ms,1778582415525000000,1778582433866000000,9
jps.library.entities.serializer.load.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1778582415525000000,1778582433866000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1778582415525000000,1778582433866000000,2504
workspaceModel.global.apply.state.to.project.builder.ms,1778582415525000000,1778582433866000000,2
jps.module.iml.entities.serializer.save.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1778582415525000000,1778582433866000000,1
jps.global.get.libraries.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1778582415525000000,1778582433866000000,1
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleBridge.before.changed.ms,1778582415525000000,1778582433866000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1778582415525000000,1778582433866000000,98
workspaceModel.global.apply.state.to.project.ms,1778582415525000000,1778582433866000000,25
workspaceModel.moduleManagerBridge.create.module.instance.ms,1778582415525000000,1778582433866000000,0
jps.artifact.entities.serializer.save.entities.ms,1778582415525000000,1778582433866000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1778582415525000000,1778582433866000000,0
jps.save.changed.project.entities.ms,1778582415525000000,1778582433866000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactManagerBridge.commit.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1778582415525000000,1778582433866000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1778582415525000000,1778582433866000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1778582415525000000,1778582433866000000,3
compiler.ArtifactManagerBridge.getArtifacts.ms,1778582415525000000,1778582433866000000,0
VFS.fileChildByName,1778582415525000000,1778582433866000000,5584
VFS.fileByIdCache.misses,1778582415525000000,1778582433866000000,16707
VFS.invertedFileNameIndex.requests,1778582415525000000,1778582433866000000,8
VFS.fileByIdCache.hits,1778582415525000000,1778582433866000000,0
