# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1778582844899000000,1778582861980000000,947274
writeAction.median.wait.ms,1778582844899000000,1778582861980000000,0
lexer.JAVA.time.ns,1778582844899000000,1778582861980000000,830085
writeAction.wait.ms,1778582844899000000,1778582861980000000,9
lexer.JAVA.size.bytes,1778582844899000000,1778582861980000000,7977
DiskQueryRelay.taskExecutionTotalTimeUs,1778582844899000000,1778582861980000000,184711
DiskQueryRelay.tasksExecuted,1778582844899000000,1778582861980000000,255
parser.JAVA.size.bytes,1778582844899000000,1778582861980000000,7977
writeAction.max.wait.ms,1778582844899000000,1778582861980000000,4
parser.JAVA.time.ns,1778582844899000000,1778582861980000000,45431046
DiskQueryRelay.tasksRequested,1778582844899000000,1778582861980000000,940
writeAction.count,1778582844899000000,1778582861980000000,15
JVM.GC.collections,1778582844899000000,1778582861980000000,42
JVM.usedHeapBytes,1778582844899000000,1778582861980000000,415236096
JVM.GC.collectionTimesMs,1778582844899000000,1778582861980000000,165
JVM.newThreadsCount,1778582844899000000,1778582861980000000,146
JVM.totalCpuTimeMs,1778582844899000000,1778582861980000000,28049
JVM.maxHeapBytes,1778582844899000000,1778582861980000000,2147483648
MEM.ramBytes,1778582844899000000,1778582861980000000,1826603008
JVM.usedNativeBytes,1778582844899000000,1778582861980000000,409286200
JVM.totalDirectByteBuffersBytes,1778582844899000000,1778582861980000000,48748476
MEM.ramMinusFileMappingsBytes,1778582844899000000,1778582861980000000,1398652928
JVM.totalTimeToSafepointsMs,1778582844899000000,1778582861980000000,23
MEM.fileMappingsRamBytes,1778582844899000000,1778582861980000000,427900928
MEM.ramPlusSwapMinusFileMappingsBytes,1778582844899000000,1778582861980000000,1699336200
OS.loadAverage,1778582844899000000,1778582861980000000,1.94580078125
JVM.threadCount,1778582844899000000,1778582861980000000,114
JVM.totalBytesAllocated,1778582844899000000,1778582861980000000,2406006736
JVM.maxThreadCount,1778582844899000000,1778582861980000000,127
JVM.totalSafepointCount,1778582844899000000,1778582861980000000,304
JVM.totalTimeAtSafepointsMs,1778582844899000000,1778582861980000000,176
JVM.committedHeapBytes,1778582844899000000,1778582861980000000,771751936
VFS.invertedFileNameIndex.requests,1778582844899000000,1778582861980000000,6
VFS.fileChildByName,1778582844899000000,1778582861980000000,6111
VFS.fileByIdCache.misses,1778582844899000000,1778582861980000000,30716
VFS.fileByIdCache.hits,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.commit.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1778582844899000000,1778582861980000000,1
compiler.ArtifactManagerBridge.findArtifact.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1778582844899000000,1778582861980000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1778582844899000000,1778582861980000000,0
DirectByteBufferAllocator.misses,1778582844899000000,1778582861980000000,226
