# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
OS.loadAverage,1777473159511000000,1777473171744000000,2.92431640625
JVM.threadCount,1777473159511000000,1777473171744000000,124
JVM.GC.collections,1777473159511000000,1777473171744000000,41
MEM.ramBytes,1777473159511000000,1777473171744000000,1778188288
JVM.totalDirectByteBuffersBytes,1777473159511000000,1777473171744000000,51637441
JVM.maxHeapBytes,1777473159511000000,1777473171744000000,2147483648
JVM.totalTimeToSafepointsMs,1777473159511000000,1777473171744000000,16
JVM.totalCpuTimeMs,1777473159511000000,1777473171744000000,26335
JVM.GC.collectionTimesMs,1777473159511000000,1777473171744000000,167
JVM.totalSafepointCount,1777473159511000000,1777473171744000000,272
JVM.maxThreadCount,1777473159511000000,1777473171744000000,126
MEM.fileMappingsRamBytes,1777473159511000000,1777473171744000000,416825344
JVM.newThreadsCount,1777473159511000000,1777473171744000000,142
JVM.usedHeapBytes,1777473159511000000,1777473171744000000,369623040
MEM.ramMinusFileMappingsBytes,1777473159511000000,1777473171744000000,1361330176
MEM.ramPlusSwapMinusFileMappingsBytes,1777473159511000000,1777473171744000000,1846284200
JVM.committedHeapBytes,1777473159511000000,1777473171744000000,735051776
JVM.usedNativeBytes,1777473159511000000,1777473171744000000,394914904
JVM.totalTimeAtSafepointsMs,1777473159511000000,1777473171744000000,175
JVM.totalBytesAllocated,1777473159511000000,1777473171744000000,2428008824
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777473159511000000,1777473171744000000,129
workspaceModel.collect.changes.ms,1777473159511000000,1777473171744000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777473159511000000,1777473171744000000,0
workspaceModel.replace.project.model.ms,1777473159511000000,1777473171744000000,0
workspaceModel.initializing.ms,1777473159511000000,1777473171744000000,0
workspaceModel.cachedValue.clear.count,1777473159511000000,1777473171744000000,0
workspaceModel.on.changed.ms,1777473159511000000,1777473171744000000,6
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777473159511000000,1777473171744000000,14
