# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.pre.handlers.ms,1778582684933000000,1778582745028000000,0
workspaceModel.cachedValue.calculated.count,1778582684933000000,1778582745028000000,8
workspaceModel.updates.ms,1778582684933000000,1778582745028000000,20
workspaceModel.workspaceFileIndexData.getPackageName.ms,1778582684933000000,1778582745028000000,5
workspaceModel.full.replace.project.model.ms,1778582684933000000,1778582745028000000,2
workspaceModel.workspaceFileIndexData.markDirty.ms,1778582684933000000,1778582745028000000,0
workspaceModel.collect.changes.ms,1778582684933000000,1778582745028000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1778582684933000000,1778582745028000000,0
workspaceModel.updates.precise.ms,1778582684933000000,1778582745028000000,4
workspaceModel.workspaceFileIndexData.instances.count,1778582684933000000,1778582745028000000,1
workspaceModel.on.before.changed.ms,1778582684933000000,1778582745028000000,8
workspaceModel.workspaceFileIndexData.processFileSets.ms,1778582684933000000,1778582745028000000,0
workspaceModel.cachedValue.clear.count,1778582684933000000,1778582745028000000,0
workspaceModel.loading.from.cache.ms,1778582684933000000,1778582745028000000,60
workspaceModel.cachedValueWithParameters.from.cache.count,1778582684933000000,1778582745028000000,0
workspaceModel.on.changed.ms,1778582684933000000,1778582745028000000,6
workspaceModel.update.unloaded.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.cachedValue.total.get.count,1778582684933000000,1778582745028000000,310
workspaceModel.entityStorageSnapshotImpl.instances.count,1778582684933000000,1778582745028000000,21
workspaceModel.workspaceFileIndexData.init.ms,1778582684933000000,1778582745028000000,24
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.to.snapshot.ms,1778582684933000000,1778582745028000000,0
workspaceModel.replace.project.model.ms,1778582684933000000,1778582745028000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1778582684933000000,1778582745028000000,125
workspaceModel.initializing.ms,1778582684933000000,1778582745028000000,1
workspaceModel.check.recursive.update.ms,1778582684933000000,1778582745028000000,0
workspaceModel.cachedValueWithParameters.clear.count,1778582684933000000,1778582745028000000,0
workspaceModel.updates.count,1778582684933000000,1778582745028000000,3
workspaceModel.loading.total.ms,1778582684933000000,1778582745028000000,64
workspaceModel.cachedValueWithParameters.calculated.count,1778582684933000000,1778582745028000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1778582684933000000,1778582745028000000,35
workspaceModel.cachedValueWithParameters.total.get.count,1778582684933000000,1778582745028000000,0
workspaceModel.init.bridges.ms,1778582684933000000,1778582745028000000,2
workspaceModel.cachedValue.from.cache.count,1778582684933000000,1778582745028000000,302
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1778582684933000000,1778582745028000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1778582684933000000,1778582745028000000,11
writeAction.count,1778582684933000000,1778582745028000000,12
parser.JAVA.size.bytes,1778582684933000000,1778582745028000000,9885
lexer.JAVA.size.bytes,1778582684933000000,1778582745028000000,9885
DiskQueryRelay.taskWaitingTotalTimeUs,1778582684933000000,1778582745028000000,938859
writeAction.median.wait.ms,1778582684933000000,1778582745028000000,0
DiskQueryRelay.tasksExecuted,1778582684933000000,1778582745028000000,321
parser.JAVA.time.ns,1778582684933000000,1778582745028000000,41622338
DiskQueryRelay.taskExecutionTotalTimeUs,1778582684933000000,1778582745028000000,171857
writeAction.wait.ms,1778582684933000000,1778582745028000000,4
lexer.JAVA.time.ns,1778582684933000000,1778582745028000000,11176377
writeAction.max.wait.ms,1778582684933000000,1778582745028000000,2
DiskQueryRelay.tasksRequested,1778582684933000000,1778582745028000000,896
compiler.ArtifactManagerBridge.getArtifacts.ms,1778582684933000000,1778582745028000000,0
compiler.ArtifactManagerBridge.commit.ms,1778582684933000000,1778582745028000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1778582684933000000,1778582745028000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1778582684933000000,1778582745028000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1778582684933000000,1778582745028000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1778582684933000000,1778582745028000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1778582684933000000,1778582745028000000,1
FlushQueue.queueSize90P,1778582684933000000,1778582745028000000,0
NonBlockingReadAction.failedExecutionTimeUs,1778582684933000000,1778582745028000000,114118
NonBlockingReadAction.finalizedExecutionTimeUs,1778582684933000000,1778582745028000000,155661
NonBlockingReadAction.finalizedExecutionsCount,1778582684933000000,1778582745028000000,203
AWTEventQueue.dispatchTimeTotalNS,1778582684933000000,1778582745028000000,3410186693
FlushQueue.executionTimeAvgNs,1778582684933000000,1778582745028000000,0.0
FlushQueue.waitingTimeAvgNs,1778582684933000000,1778582745028000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1778582684933000000,1778582745028000000,0
AWTEventQueue.dispatchTimeAvgNs,1778582684933000000,1778582745028000000,0.0
FlushQueue.waitingTime90PNs,1778582684933000000,1778582745028000000,0
FlushQueue.executionTime90PNs,1778582684933000000,1778582745028000000,0
NonBlockingReadAction.failedExecutionsCount,1778582684933000000,1778582745028000000,7
FlushQueue.queueSizeMax,1778582684933000000,1778582745028000000,0
FlushQueue.queueSizeAvg,1778582684933000000,1778582745028000000,0.0
FlushQueue.executionTimeMaxNs,1778582684933000000,1778582745028000000,0
AWTEventQueue.eventsDispatched,1778582684933000000,1778582745028000000,0
WriteAction.executionsCount,1778582684933000000,1778582745028000000,12
AWTEventQueue.dispatchTime90PNs,1778582684933000000,1778582745028000000,0
ReadAction.executionsCount,1778582684933000000,1778582745028000000,108391
FlushQueue.tasksExecuted,1778582684933000000,1778582745028000000,0
FlushQueue.waitingTimeMaxNs,1778582684933000000,1778582745028000000,0
jps.module.iml.entities.serializer.load.entities.ms,1778582684933000000,1778582745028000000,6
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1778582684933000000,1778582745028000000,0
jps.global.handle.before.change.events.ms,1778582684933000000,1778582745028000000,0
jps.storage.jps.conf.reader.load.component.ms,1778582684933000000,1778582745028000000,2
jps.global.get.library.by.name.ms,1778582684933000000,1778582745028000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1778582684933000000,1778582745028000000,0
jps.global.initialize.library.bridges.after.loading.ms,1778582684933000000,1778582745028000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1778582684933000000,1778582745028000000,0
jps.artifact.entities.serializer.load.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778582684933000000,1778582745028000000,0
workspaceModel.global.updates.ms,1778582684933000000,1778582745028000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778582684933000000,1778582745028000000,0
workspaceModel.moduleBridge.before.changed.ms,1778582684933000000,1778582745028000000,0
workspaceModel.mutableEntityStorage.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778582684933000000,1778582745028000000,0
jps.apply.loaded.storage.ms,1778582684933000000,1778582745028000000,2098
jps.artifact.entities.serializer.save.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.sync.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1778582684933000000,1778582745028000000,77
jps.load.project.to.empty.storage.ms,1778582684933000000,1778582745028000000,26
workspaceModel.moduleManagerBridge.load.all.modules.ms,1778582684933000000,1778582745028000000,46
workspaceModel.load.cache.from.file.ms,1778582684933000000,1778582745028000000,64
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778582684933000000,1778582745028000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1778582684933000000,1778582745028000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1778582684933000000,1778582745028000000,1
jps.project.serializers.load.ms,1778582684933000000,1778582745028000000,11
jps.reload.project.entities.ms,1778582684933000000,1778582745028000000,0
jps.app.storage.content.reader.load.component.ms,1778582684933000000,1778582745028000000,2
workspaceModel.load.cache.metadata.from.file.ms,1778582684933000000,1778582745028000000,7
workspaceModel.global.updates.count,1778582684933000000,1778582745028000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1778582684933000000,1778582745028000000,0
workspaceModel.do.save.caches.ms,1778582684933000000,1778582745028000000,24
